gender,scaled_Europe,scaled_Hague,scaled_Blair,scaled_Kennedy,scaled_age,scaled_political.knowledge,scaled_economic.cond.household,scaled_economic.cond.national,vote
0     ,0.9,0.25,0.0,0.0,0.4461538462,0.6666666667,0.25,0.0,3
0     ,0.2,0.0,0.25,0.5,0.6153846154,0.0,0.5,0.0,1
1     ,0.8,0.25,0.25,0.75,0.2153846154,0.6666666667,0.0,0.25,1
0     ,0.6,0.75,0.75,0.25,0.4769230769,0.6666666667,0.0,0.25,1
0     ,0.1,0.75,0.75,0.5,0.0923076923,1.0,0.0,0.25,2
0     ,0.7,0.25,0.75,0.5,0.3076923077,0.0,0.25,0.25,2
1     ,1.0,1.0,0.25,0.25,0.7076923077,0.0,0.25,0.25,2
0     ,1.0,0.75,0.75,0.75,1.0,0.0,0.25,0.25,3
0     ,0.6,0.75,0.0,0.75,0.2769230769,0.6666666667,0.25,0.25,3
1     ,1.0,1.0,0.25,0.25,0.4615384615,0.6666666667,0.25,0.25,3
1     ,0.5,0.0,0.75,0.5,0.4923076923,0.6666666667,0.25,0.25,2
0     ,0.5,0.75,0.25,0.25,0.5846153846,0.6666666667,0.25,0.25,3
0     ,0.8,0.5,0.75,0.5,0.6307692308,0.6666666667,0.25,0.25,2
1     ,0.3,0.25,0.75,0.75,0.5230769231,1.0,0.25,0.25,1
0     ,0.9,0.25,0.25,0.75,0.2,0.0,0.5,0.25,3
0     ,0.5,0.75,0.75,0.75,0.3076923077,0.0,0.5,0.25,1
0     ,0.3,0.25,0.75,0.5,0.6615384615,0.0,0.5,0.25,2
0     ,0.9,0.75,0.75,1.0,0.4,0.6666666667,0.5,0.25,3
0     ,0.7,0.75,0.75,0.25,0.7846153846,0.6666666667,0.5,0.25,3
0     ,0.2,0.25,0.75,0.75,0.1692307692,1.0,0.5,0.25,1
1     ,0.7,0.0,0.25,0.75,0.8769230769,0.0,0.75,0.25,3
1     ,0.2,0.25,0.75,0.25,0.0923076923,0.6666666667,0.75,0.25,2
1     ,0.2,0.0,1.0,0.75,0.1538461538,1.0,0.75,0.25,2
1     ,0.3,0.25,0.25,0.0,0.2153846154,1.0,0.75,0.25,1
1     ,0.3,0.25,0.75,0.75,0.1230769231,1.0,1.0,0.25,1
1     ,0.3,0.75,0.75,0.5,0.3846153846,0.0,0.0,0.5,1
0     ,1.0,0.5,0.75,0.5,0.5076923077,0.3333333333,0.0,0.5,2
0     ,0.3,0.25,0.75,0.25,0.2769230769,0.6666666667,0.0,0.5,2
0     ,0.4,0.25,0.75,0.75,0.2615384615,0.0,0.25,0.5,2
1     ,0.2,0.75,0.25,0.75,0.5076923077,0.0,0.25,0.5,3
0     ,0.5,0.25,0.75,0.75,0.1692307692,0.6666666667,0.25,0.5,1
0     ,0.6,0.75,0.75,0.75,0.1692307692,0.6666666667,0.25,0.5,3
0     ,0.9,0.75,0.25,0.5,0.6153846154,0.6666666667,0.25,0.5,3
0     ,0.6,0.75,0.75,0.5,0.3076923077,1.0,0.25,0.5,2
1     ,0.2,0.25,0.75,0.75,0.3538461538,1.0,0.25,0.5,1
1     ,0.8,1.0,0.25,0.25,0.4615384615,1.0,0.25,0.5,3
0     ,0.3,0.75,0.75,0.75,0.0,0.0,0.5,0.5,2
0     ,0.7,0.25,0.75,0.25,0.2,0.0,0.5,0.5,2
1     ,0.6,0.75,0.75,0.25,0.2153846154,0.0,0.5,0.5,2
0     ,0.6,0.25,0.0,0.0,0.2307692308,0.0,0.5,0.5,2
0     ,1.0,0.25,0.25,0.5,0.2769230769,0.0,0.5,0.5,2
0     ,1.0,0.25,0.75,0.75,0.3230769231,0.0,0.5,0.5,2
0     ,0.3,0.25,0.75,0.75,0.3538461538,0.0,0.5,0.5,2
0     ,1.0,0.75,0.75,0.75,0.4153846154,0.0,0.5,0.5,2
1     ,0.5,0.75,0.75,0.5,0.6153846154,0.0,0.5,0.5,3
0     ,0.5,0.25,0.75,0.75,0.6461538462,0.0,0.5,0.5,1
0     ,0.2,0.25,1.0,0.5,0.8307692308,0.0,0.5,0.5,2
0     ,0.0,0.75,0.25,0.75,0.4615384615,0.3333333333,0.5,0.5,3
1     ,0.8,1.0,0.75,0.75,0.1076923077,0.6666666667,0.5,0.5,3
0     ,0.5,0.25,0.75,0.5,0.1384615385,0.6666666667,0.5,0.5,2
0     ,0.7,0.25,0.25,0.75,0.1538461538,0.6666666667,0.5,0.5,1
0     ,0.2,0.25,1.0,0.5,0.1846153846,0.6666666667,0.5,0.5,2
0     ,0.1,0.0,0.75,0.75,0.2923076923,0.6666666667,0.5,0.5,1
1     ,1.0,0.25,0.25,0.25,0.3384615385,0.6666666667,0.5,0.5,3
1     ,0.3,0.0,0.75,0.25,0.3538461538,0.6666666667,0.5,0.5,2
0     ,0.8,0.0,0.25,0.75,0.3846153846,0.6666666667,0.5,0.5,1
1     ,1.0,0.0,0.75,1.0,0.4461538462,0.6666666667,0.5,0.5,2
0     ,1.0,0.75,0.0,0.75,0.4615384615,0.6666666667,0.5,0.5,3
0     ,0.5,0.75,0.75,0.25,0.4769230769,0.6666666667,0.5,0.5,2
1     ,0.3,0.0,0.75,0.75,0.4769230769,0.6666666667,0.5,0.5,2
0     ,0.6,0.0,0.25,0.25,0.5692307692,0.6666666667,0.5,0.5,1
0     ,0.0,0.25,0.75,0.75,0.5692307692,0.6666666667,0.5,0.5,1
1     ,0.3,0.75,0.75,0.75,0.5692307692,0.6666666667,0.5,0.5,2
1     ,0.2,0.25,0.0,0.25,0.6153846154,0.6666666667,0.5,0.5,3
0     ,0.9,0.0,0.75,0.25,0.6307692308,0.6666666667,0.5,0.5,1
1     ,0.7,0.25,0.75,0.75,0.6615384615,0.6666666667,0.5,0.5,2
1     ,0.9,0.75,0.75,0.5,0.8,0.6666666667,0.5,0.5,3
1     ,1.0,0.0,1.0,1.0,0.8461538462,0.6666666667,0.5,0.5,2
0     ,0.3,0.0,1.0,0.25,0.8615384615,0.6666666667,0.5,0.5,2
1     ,1.0,0.75,0.25,0.75,0.8923076923,0.6666666667,0.5,0.5,3
1     ,0.0,0.0,0.75,0.75,0.1538461538,1.0,0.5,0.5,2
1     ,0.1,0.0,1.0,0.75,0.2769230769,1.0,0.5,0.5,1
1     ,0.9,0.75,0.25,0.25,0.4153846154,1.0,0.5,0.5,3
1     ,0.5,0.25,0.75,0.75,0.4461538462,1.0,0.5,0.5,2
0     ,0.3,0.75,0.25,0.25,0.5384615385,1.0,0.5,0.5,3
1     ,0.9,0.25,0.75,0.75,0.6923076923,1.0,0.5,0.5,2
0     ,1.0,0.5,0.25,0.5,0.7230769231,1.0,0.5,0.5,3
1     ,0.8,0.75,0.75,0.25,0.8153846154,1.0,0.5,0.5,3
0     ,0.7,0.25,0.25,0.25,0.2461538462,0.0,0.75,0.5,2
0     ,1.0,0.75,0.75,0.25,0.2615384615,0.0,0.75,0.5,2
0     ,0.5,0.25,0.75,0.5,0.3538461538,0.0,0.75,0.5,2
0     ,0.5,0.0,0.25,0.75,0.4307692308,0.0,0.75,0.5,2
1     ,0.7,0.75,0.75,0.25,0.7846153846,0.0,0.75,0.5,2
1     ,0.7,0.75,0.75,0.25,0.0615384615,0.6666666667,0.75,0.5,3
0     ,1.0,0.75,0.25,0.75,0.2307692308,0.6666666667,0.75,0.5,3
1     ,0.4,0.25,0.75,0.75,0.2307692308,0.6666666667,0.75,0.5,2
1     ,1.0,0.75,0.25,0.0,0.2923076923,0.6666666667,0.75,0.5,3
1     ,1.0,0.75,0.25,0.25,0.3846153846,0.6666666667,0.75,0.5,3
0     ,0.2,0.0,0.0,0.0,0.4153846154,0.6666666667,0.75,0.5,1
0     ,0.8,0.25,0.25,0.75,0.5538461538,0.6666666667,0.75,0.5,2
1     ,1.0,0.0,0.75,0.75,0.7230769231,0.6666666667,0.75,0.5,2
0     ,0.8,0.25,0.25,0.5,0.1230769231,1.0,0.75,0.5,3
0     ,0.4,0.75,0.75,0.75,0.2,1.0,0.75,0.5,2
1     ,0.2,0.25,0.75,0.75,0.2769230769,1.0,0.75,0.5,1
0     ,0.5,0.75,0.75,0.75,0.0307692308,0.0,1.0,0.5,3
0     ,0.0,0.0,0.75,0.75,0.2307692308,0.6666666667,1.0,0.5,1
1     ,0.4,0.25,1.0,0.25,0.3846153846,1.0,1.0,0.5,2
0     ,0.5,0.25,0.25,0.75,0.1230769231,0.0,0.25,0.75,1
0     ,0.9,0.75,0.25,0.75,0.6923076923,0.0,0.25,0.75,1
1     ,0.3,0.75,0.75,0.25,0.3538461538,0.0,0.5,0.75,2
0     ,0.2,0.75,0.75,0.75,0.4923076923,0.0,0.5,0.75,3
1     ,1.0,0.25,0.75,0.0,0.7538461538,0.0,0.5,0.75,2
0     ,1.0,0.75,1.0,0.5,0.7692307692,0.0,0.5,0.75,1
1     ,1.0,0.25,0.75,0.75,0.7846153846,0.0,0.5,0.75,1
1     ,0.7,0.75,0.75,0.25,0.2923076923,0.3333333333,0.5,0.75,2
0     ,0.6,0.25,0.75,0.5,0.3538461538,0.3333333333,0.5,0.75,1
0     ,0.4,0.0,0.75,0.0,0.1384615385,0.6666666667,0.5,0.75,2
1     ,0.0,0.0,0.75,0.75,0.3384615385,0.6666666667,0.5,0.75,2
1     ,0.3,0.25,0.75,0.25,0.4,0.6666666667,0.5,0.75,2
0     ,0.6,0.75,0.25,0.25,0.4307692308,0.6666666667,0.5,0.75,3
0     ,0.3,0.75,0.75,0.25,0.8153846154,0.6666666667,0.5,0.75,1
0     ,1.0,0.75,0.25,0.75,0.9384615385,0.6666666667,0.5,0.75,3
1     ,0.3,0.25,0.75,0.75,0.1692307692,1.0,0.5,0.75,2
1     ,0.8,0.25,1.0,1.0,0.8,1.0,0.5,0.75,2
0     ,0.0,0.75,0.75,0.75,0.1846153846,0.0,0.75,0.75,2
0     ,0.5,0.75,0.75,0.25,0.2,0.0,0.75,0.75,2
1     ,0.5,0.25,0.75,0.75,0.2461538462,0.0,0.75,0.75,2
0     ,0.5,0.25,0.75,0.25,0.2769230769,0.0,0.75,0.75,2
1     ,1.0,0.25,0.75,0.75,0.2769230769,0.0,0.75,0.75,1
0     ,0.4,0.25,0.75,0.5,0.2923076923,0.0,0.75,0.75,2
1     ,0.7,0.0,0.75,0.5,0.3384615385,0.0,0.75,0.75,1
1     ,0.6,0.75,0.75,0.75,0.3538461538,0.0,0.75,0.75,2
0     ,0.9,0.75,1.0,0.75,0.6615384615,0.0,0.75,0.75,2
