Game_Id,Round,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Hsh,Ash,HT,AT,HF,AF,HC,AC,HY,AY,HR,AR,GameDate,Attendance,Referee_Id,HomeTeam,AwayTeam
,1,0,2,A,0,0,D,6,14,2,4,6,9,3,10,0,2,0,0,12/8/2017,,15,16,3
,1,2,3,A,0,3,A,19,10,6,5,16,11,8,5,3,3,2,0,12/8/2017,,5,7,8
,1,0,3,A,0,2,A,14,8,4,6,7,19,12,9,1,3,0,0,12/8/2017,,8,12,18
,1,1,0,H,1,0,H,9,9,4,1,13,10,6,7,1,1,0,0,12/8/2017,,16,9,20
,1,0,0,D,0,0,D,29,4,2,0,10,13,13,0,2,1,0,0,12/8/2017,,14,17,19
,1,3,3,D,2,1,H,9,14,4,5,14,8,3,3,0,3,0,0,12/8/2017,,3,15,5
,1,1,0,H,1,0,H,16,9,6,2,15,3,8,2,3,1,0,0,12/8/2017,,19,21,13
,1,4,0,H,1,0,H,22,9,6,1,19,7,11,1,2,2,0,0,13/08/17,,12,4,14
,1,0,2,A,0,0,D,6,18,3,6,6,10,5,7,1,2,1,0,13/08/17,,2,11,6
,2,0,2,A,0,0,D,6,19,2,7,6,14,8,5,1,3,0,0,19/08/17,,18,13,15
,2,0,1,A,0,0,D,20,8,0,1,11,11,5,5,1,0,0,1,19/08/17,,12,8,21
,2,2,0,H,1,0,H,14,5,4,2,8,10,6,2,1,0,0,0,19/08/17,,11,10,16
,2,1,0,H,0,0,D,23,4,13,1,12,13,4,2,1,3,0,0,19/08/17,,9,5,12
,2,3,2,H,2,1,H,14,16,5,8,18,10,7,2,1,1,0,1,19/08/17,,10,17,14
,2,1,0,H,0,0,D,11,18,4,6,6,11,2,9,0,0,0,0,19/08/17,,2,20,2
,2,0,4,A,0,1,A,6,17,1,8,12,11,3,5,1,1,0,0,19/08/17,,8,19,4
,2,1,0,H,0,0,D,7,13,3,5,13,10,7,3,3,4,0,0,20/08/17,,5,18,11
,2,1,2,A,0,1,A,18,9,6,2,14,21,14,3,3,3,0,0,20/08/17,,3,6,7
,2,1,1,D,0,1,A,19,7,6,2,7,9,7,1,1,2,1,1,21/08/17,,19,3,9
,3,1,2,A,1,1,D,9,19,3,8,13,14,2,5,5,4,0,1,26/08/17,,13,13,3
,3,0,2,A,0,1,A,16,7,3,3,9,6,1,1,4,1,0,0,26/08/17,,2,12,19
,3,0,0,D,0,0,D,16,6,6,3,10,10,5,4,0,1,0,0,26/08/17,,20,18,17
,3,2,0,H,0,0,D,22,11,7,4,8,7,9,3,1,2,0,0,26/08/17,,15,4,10
,3,3,0,H,1,0,H,16,8,8,3,17,11,7,5,1,3,0,0,26/08/17,,16,11,14
,3,0,0,D,0,0,D,8,16,0,2,7,18,3,11,0,1,1,0,26/08/17,,7,15,16
,3,2,0,H,2,0,H,18,7,7,0,12,7,6,3,2,2,0,0,27/08/17,,8,7,9
,3,4,0,H,2,0,H,18,8,10,0,6,9,4,3,2,4,0,0,27/08/17,,5,5,2
,3,1,1,D,0,0,D,28,13,5,3,9,9,10,7,0,0,0,0,27/08/17,,10,6,8
,3,1,1,D,0,0,D,10,16,2,2,10,9,10,4,2,2,0,0,27/08/17,,3,21,20
,4,3,0,H,2,0,H,15,6,8,1,14,8,8,2,0,1,0,0,9/9/2017,,3,2,13
